Ta_m,P_m,SWin_m,VPD_m,GPP
16.192,24.4,23.188,2.348,1.97482
14.102,3.8,86.792,1.736,6.48456
10.223,7.2,53.396,0.974,6.27769
7.906,5.8,110.854,1.03,7.13163
9.123,8.4,74.833,1.42,3.98751
11.225,5.6,94.229,2.047,4.53226
12.242,2.6,82.167,2.028,2.40502
11.694,0.2,75.896,3.147,5.72784
11.246,0.0,161.771,3.592,7.52088
10.906,0.0,184.75,3.667,7.9595
12.773,0.0,184.792,4.441,7.51345
13.027,0.0,183.333,4.626,8.51035
11.875,0.0,120.521,3.158,6.75512
12.642,0.0,173.021,3.683,7.68639
13.273,0.0,160.5,3.546,7.8523
15.398,0.4,155.792,4.092,8.49699
15.031,7.8,54.771,2.001,5.98415
15.192,0.8,91.729,5.122,9.32112
13.258,6.8,85.104,1.387,4.1585
13.862,0.0,87.354,1.752,6.79997
12.056,10.6,32.354,0.673,4.29902
10.542,14.2,58.521,0.836,4.72805
8.581,0.4,66.104,1.006,4.83489
7.396,0.8,17.792,0.724,1.34495
6.654,3.0,82.979,1.399,4.1214
9.56,1.4,89.896,1.503,3.78568
8.483,2.2,9.729,0.991,3.10862
8.494,0.6,37.729,0.829,4.7748
8.106,0.6,36.479,0.826,4.81077
9.419,0.4,125.188,1.26,6.31814
10.029,2.6,55.313,1.53,-0.0707672
10.302,5.2,31.229,0.706,-0.200199
9.919,2.0,58.38,2.113,5.3816
8.994,0.2,91.521,2.408,5.15226
11.196,1.8,26.542,0.806,1.97629
12.913,16.6,27.104,0.415,2.1676
12.444,0.8,47.896,1.425,3.33433
14.44,2.6,84.188,3.887,0.402335
7.808,0.4,49.521,1.376,0.0440672
4.406,0.4,84.146,1.861,1.59699
6.983,0.6,75.708,1.804,2.19639
9.206,0.0,78.521,4.376,0.05496
12.917,0.4,38.583,4.73,1.31749
14.031,7.2,53.167,4.64,1.60159
10.81,15.0,50.0,2.223,-0.785555
10.283,12.2,49.375,2.85,0.216509
7.329,3.2,52.109,1.459,0.377961
8.802,2.0,32.042,2.313,0.533301
12.158,75.0,18.583,1.818,0.938516
7.967,38.8,22.854,1.472,1.3336
5.69,9.2,13.5,0.855,0.184604
6.871,12.2,33.313,0.627,0.299768
7.425,11.6,33.75,1.8,0.665245
6.856,0.6,82.063,2.287,0.768142
8.396,13.2,27.25,1.476,-0.133068
6.265,3.2,54.042,1.162,-0.32389
3.925,0.0,57.083,1.785,0.200253
5.36,0.2,29.688,1.442,0.110623
4.54,0.2,60.313,0.665,0.383011
6.638,0.8,58.917,4.295,0.223174
12.152,3.0,17.125,4.059,0.186169
9.902,1.2,27.146,1.27,-0.237769
3.633,0.0,58.75,0.967,0.279696
